hough_no_lines,hough_line_sd,hough_sd,hough_kurtosis,hough_max_z
12,1.1182685615,49.0518109319,2.696117222291565,4.20855564889
38,0.905739873436,101.677024345,0.2719325204610601,3.51097691312
25,0.99808689559,79.572538158,1.592045559921715,3.94306732603
26,0.913315224632,71.8608141353,0.7392837203311884,3.41679739855
1,0.0,17.6500758492,62.228120544618946,17.0642515028
15,1.1452698551,64.2737250719,1.8049287019935925,5.64171976509
29,1.11818407026,66.054891969,0.7739301088090871,4.49921045898
37,1.04110088848,97.3362510324,0.11461871901055698,3.39397239315
18,0.580520759512,82.4477465874,0.5317923900215566,3.807712719
2,0.0526523908423,28.0862562989,18.35113290916538,8.83656395351
20,0.876863442234,89.0874720519,-0.8947692054100367,2.49861074882
1,0.0,15.0207570916,140.24889177131138,27.735770146
7,0.972647575671,59.4274395459,9.395931763111106,6.35819996335
17,1.00198750685,81.5390881043,1.5080331148172128,4.33877798029
24,0.681568109915,81.7178856325,0.9818397856138379,3.53283947589
18,0.9514458852,97.3209935807,1.2942729928997538,3.66898891423
5,1.44230394801,42.9948926554,9.318030961010544,8.37810565808
4,1.28388008446,9.69788232547,74.9170609430226,19.4365900377
26,0.905791786116,62.3794921354,1.996320521328852,3.82561545374
36,0.920362259816,76.7033707325,1.0346289736866456,4.18384604581
24,0.997523636825,63.5136607593,0.5675765519640463,3.50044630214
1,0.0,13.7029333824,94.7412135587991,23.6305325387
12,0.854282775324,57.1116826062,4.911303144159117,4.9567616831
20,0.89605541821,81.3062885047,0.3139429623890875,3.33449354415
22,0.906040553947,91.1600806643,1.222971223757611,3.84209096452
8,1.45441475139,65.244994521,7.60092969289947,5.67701042632
2,1.52691933443,14.4763552256,106.58997386962098,22.68171641
1,0.0,9.9076928315,218.34901676551286,32.7240709908
28,0.895832155076,79.9337910171,0.7353539579354305,3.38073126807
23,1.1455431945,102.169864118,0.7010383680033079,3.67265759304
1,0.0,12.2657090288,88.79291011703857,21.5696674325
1,0.0,12.2620041561,88.82252718058362,21.5762759727
25,0.937349009436,60.3140708809,3.3663657256141875,4.67675280213
22,1.04313091345,5.66960688698,24.65096095299131,9.66421637065
26,1.13077225254,97.672262363,1.953048273879146,3.75875392991
27,0.955961616149,118.075856703,-0.9988692242157846,2.64393089881
25,0.780258454729,111.285114104,-0.3075934295428078,3.33152374407
2,1.39528835732,17.9067825108,50.63516861525718,16.2269799069
